surface	mode	path	driver	width	height	textless	md5	mean_luma	measurement	heuristic
station_02	key_object	reports/pkg_0184/visual/station_02__key_object.png	Windows	640	360	false	39a924708a2dc7f84c68cd1649f744e3	0.1906	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_02	interaction	reports/pkg_0184/visual/station_02__interaction.png	Windows	640	360	false	f54fdfe071b3ccffcc00fb970bea8f97	0.1943	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_02	m3_mono	reports/pkg_0184/visual/station_02__m3_mono.png	Windows	640	360	true	cb948f93e9e153e55cc7b840d5690abd	0.1899	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_03	normal	reports/pkg_0184/visual/station_03__normal.png	Windows	640	360	false	905af36e62c63858d7fb93d06d449b74	0.1567	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_03	key_object	reports/pkg_0184/visual/station_03__key_object.png	Windows	640	360	false	e7c9652dd0ce2003cb40a10b60cfc99a	0.1568	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_03	interaction	reports/pkg_0184/visual/station_03__interaction.png	Windows	640	360	false	704d5b5b955fef488b4afb2eb1ab7429	0.1575	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_03	m3_mono	reports/pkg_0184/visual/station_03__m3_mono.png	Windows	640	360	true	8bf5b7297f60fae1e26803fd76cc72af	0.1554	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_04	normal	reports/pkg_0184/visual/station_04__normal.png	Windows	640	360	false	71c7bd43b5ae3f506e5a4284d0fee11f	0.1726	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_04	key_object	reports/pkg_0184/visual/station_04__key_object.png	Windows	640	360	false	e20e16bf61ffb299510982e22d39242c	0.1733	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_04	interaction	reports/pkg_0184/visual/station_04__interaction.png	Windows	640	360	false	3f63d532b71c346fd4a416ce765ccf3c	0.1667	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_04	m3_mono	reports/pkg_0184/visual/station_04__m3_mono.png	Windows	640	360	true	d9d4d4860482b94ad55cd8564c023d1c	0.1673	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_05	normal	reports/pkg_0184/visual/station_05__normal.png	Windows	640	360	false	8d14a5eaf9434a05ede15c54acbc3d7c	0.1629	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_05	key_object	reports/pkg_0184/visual/station_05__key_object.png	Windows	640	360	false	40d79e44676a2508f5f0e75ea86f4c71	0.1607	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_05	interaction	reports/pkg_0184/visual/station_05__interaction.png	Windows	640	360	false	39768d9ccd82e0fc38aee63f4ecce13a	0.1572	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_05	m3_mono	reports/pkg_0184/visual/station_05__m3_mono.png	Windows	640	360	true	f2d5ddeb2204aeb480fab683d44b239b	0.1546	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_06	normal	reports/pkg_0184/visual/station_06__normal.png	Windows	640	360	false	0a3e495307b06b51d44ffadfaaf202cd	0.1756	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_06	key_object	reports/pkg_0184/visual/station_06__key_object.png	Windows	640	360	false	7a906858a7ec52d4438ce395015241bb	0.1766	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_06	interaction	reports/pkg_0184/visual/station_06__interaction.png	Windows	640	360	false	5dcc4059d2b9849cf80c196f700a1d48	0.1687	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_06	m3_mono	reports/pkg_0184/visual/station_06__m3_mono.png	Windows	640	360	true	b7c2c7fa72de3ad92fc8e3c6e0f7a496	0.1692	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_07	normal	reports/pkg_0184/visual/station_07__normal.png	Windows	640	360	false	0922260d2d6085885fab91958e438ab0	0.1781	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_07	key_object	reports/pkg_0184/visual/station_07__key_object.png	Windows	640	360	false	566c182e7afa2c850d1436978419cc0f	0.1638	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_07	interaction	reports/pkg_0184/visual/station_07__interaction.png	Windows	640	360	false	f2e4f63dfeac288cbfd0be91c6c0f438	0.1700	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_07	m3_mono	reports/pkg_0184/visual/station_07__m3_mono.png	Windows	640	360	true	273b75368b05a103b1f1b2c20e0f9b70	0.1613	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_08	normal	reports/pkg_0184/visual/station_08__normal.png	Windows	640	360	false	1c084c711081e32c5639f312ee52366e	0.2035	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_08	key_object	reports/pkg_0184/visual/station_08__key_object.png	Windows	640	360	false	5352dbaa8b5f31a3fa2dd66b000333cb	0.1953	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_08	interaction	reports/pkg_0184/visual/station_08__interaction.png	Windows	640	360	false	aad6c7022c5f7d640794b6d7172b421c	0.1965	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_08	m3_mono	reports/pkg_0184/visual/station_08__m3_mono.png	Windows	640	360	true	5ac74a8e4fc545ccff4de0d9b9fc36b0	0.1907	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_09	normal	reports/pkg_0184/visual/station_09__normal.png	Windows	640	360	false	d98d43f75aaef94bde18a32b394f7543	0.2724	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_09	key_object	reports/pkg_0184/visual/station_09__key_object.png	Windows	640	360	false	1c14ea227d865ad11fba1a0ed88d8390	0.2745	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_09	interaction	reports/pkg_0184/visual/station_09__interaction.png	Windows	640	360	false	68d53a3fcfd0d3e1cb12f8c5d2840733	0.2777	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_09	m3_mono	reports/pkg_0184/visual/station_09__m3_mono.png	Windows	640	360	true	f4d368ad89ee7ff5281e058d2a20a6d8	0.2834	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_10	normal	reports/pkg_0184/visual/station_10__normal.png	Windows	640	360	false	e8bc274691cc7563b77000e4a4077d7f	0.3558	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_10	key_object	reports/pkg_0184/visual/station_10__key_object.png	Windows	640	360	false	e721bb58353f9c52d466b7d18f933809	0.3604	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_10	interaction	reports/pkg_0184/visual/station_10__interaction.png	Windows	640	360	false	3d3d8fcd8fcc111136d71cdce0d21518	0.3687	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_10	m3_mono	reports/pkg_0184/visual/station_10__m3_mono.png	Windows	640	360	true	c6c6a770efe1a3e0f98fc73d17575535	0.3695	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_11	normal	reports/pkg_0184/visual/station_11__normal.png	Windows	640	360	false	f188e43a4f73850d3b7296673d58edfc	0.5608	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_11	key_object	reports/pkg_0184/visual/station_11__key_object.png	Windows	640	360	false	e5d19cbbeb6ae6cc77b90d29386d7ecf	0.5840	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_11	interaction	reports/pkg_0184/visual/station_11__interaction.png	Windows	640	360	false	d9e2706db53c8b1b3a64902bef6200aa	0.6232	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_11	m3_mono	reports/pkg_0184/visual/station_11__m3_mono.png	Windows	640	360	true	8633efc61546cb8cecac937fdc3fe8d0	0.6341	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_12	normal	reports/pkg_0184/visual/station_12__normal.png	Windows	640	360	false	84c9fced58a78b784fb83f77e6efb71d	0.2475	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_12	key_object	reports/pkg_0184/visual/station_12__key_object.png	Windows	640	360	false	512b32f366098e0f4c2bf2b3351326f5	0.2548	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_12	interaction	reports/pkg_0184/visual/station_12__interaction.png	Windows	640	360	false	e991fdcaad023e8f3585c8b5a2fda21b	0.2683	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_12	m3_mono	reports/pkg_0184/visual/station_12__m3_mono.png	Windows	640	360	true	14bc93ac3a0a8506bd93f85e4c044b8f	0.2716	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_13	normal	reports/pkg_0184/visual/station_13__normal.png	Windows	640	360	false	eb6eab4f62a91be2cff7853d416168e3	0.3207	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_13	key_object	reports/pkg_0184/visual/station_13__key_object.png	Windows	640	360	false	82249e4f97fb9a53550846dc6b0c7614	0.3183	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_13	interaction	reports/pkg_0184/visual/station_13__interaction.png	Windows	640	360	false	c8e945f34a799b33a3503eb529a331ee	0.3323	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_13	m3_mono	reports/pkg_0184/visual/station_13__m3_mono.png	Windows	640	360	true	f14786ae9af729e82c1af775b20540bb	0.3410	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_14	normal	reports/pkg_0184/visual/station_14__normal.png	Windows	640	360	false	a8b9fb7b0e9ef418361b07454814fec6	0.1669	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_14	key_object	reports/pkg_0184/visual/station_14__key_object.png	Windows	640	360	false	2cd43edaa4b33391319ae95642d1cea8	0.1696	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_14	interaction	reports/pkg_0184/visual/station_14__interaction.png	Windows	640	360	false	4cbfc0eb63cb961bb9d6a4eb369bfe00	0.1735	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_14	m3_mono	reports/pkg_0184/visual/station_14__m3_mono.png	Windows	640	360	true	43f042bd933d271cca70cc524b53a9c1	0.1736	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_14	reduced_motion	reports/pkg_0184/visual/station_14__reduced_motion.png	Windows	640	360	false	4afe4218a12ea998891f949e83974b0a	0.1739	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_15	normal	reports/pkg_0184/visual/station_15__normal.png	Windows	640	360	false	418a59c5dcb33bd3ecd2f12e4d98adc2	0.1634	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_15	key_object	reports/pkg_0184/visual/station_15__key_object.png	Windows	640	360	false	87de658c7fb743632fa20691131a7bbe	0.1627	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_15	interaction	reports/pkg_0184/visual/station_15__interaction.png	Windows	640	360	false	d19715852df205176899535b6355b31d	0.1730	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_15	m3_mono	reports/pkg_0184/visual/station_15__m3_mono.png	Windows	640	360	true	0fffeb38fd22a95cba67c910d876eff3	0.1709	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_16	normal	reports/pkg_0184/visual/station_16__normal.png	Windows	640	360	false	d1bbc5f6e01a8a27e39aa531c7b4be32	0.1522	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_16	key_object	reports/pkg_0184/visual/station_16__key_object.png	Windows	640	360	false	c00c3ab60d37bb8a8a152410a04730c5	0.1542	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_16	interaction	reports/pkg_0184/visual/station_16__interaction.png	Windows	640	360	false	e766899c2817b3418a360c3c2e9a0206	0.1548	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_16	m3_mono	reports/pkg_0184/visual/station_16__m3_mono.png	Windows	640	360	true	52781ef58ba600cf07a8d5e2c3fd3243	0.1539	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_17	normal	reports/pkg_0184/visual/station_17__normal.png	Windows	640	360	false	59bb23d5c841d2e1e930c176292cc085	0.1661	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_17	key_object	reports/pkg_0184/visual/station_17__key_object.png	Windows	640	360	false	1203e09ae72146c095075bd3f7500d3d	0.1691	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_17	interaction	reports/pkg_0184/visual/station_17__interaction.png	Windows	640	360	false	a2a02bd70045bf487b30544046d93582	0.1616	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_17	m3_mono	reports/pkg_0184/visual/station_17__m3_mono.png	Windows	640	360	true	0d6d920a42c1f6f04ae831b14170e887	0.1595	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_18	normal	reports/pkg_0184/visual/station_18__normal.png	Windows	640	360	false	ea24e09fe96304583153468a3c94ffa4	0.1658	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_18	key_object	reports/pkg_0184/visual/station_18__key_object.png	Windows	640	360	false	9267423c2381ce541aa6cd0fdfe799a8	0.1647	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_18	interaction	reports/pkg_0184/visual/station_18__interaction.png	Windows	640	360	false	9424dd1fbda010a2417b2fddd667ee5a	0.1559	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_18	m3_mono	reports/pkg_0184/visual/station_18__m3_mono.png	Windows	640	360	true	7a8ea0f29c02cfc6f752f36a2b54e4a4	0.1519	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_42a	normal	reports/pkg_0184/visual/station_42a__normal.png	Windows	640	360	false	a5675f8d3941b89469a487b3c6ad1d2c	0.1883	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_42a	key_object	reports/pkg_0184/visual/station_42a__key_object.png	Windows	640	360	false	35130f1f77d839a07ee9e60d1ec1e4cd	0.1875	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_42a	interaction	reports/pkg_0184/visual/station_42a__interaction.png	Windows	640	360	false	3f02627c3821e9e20b43783957ef9d0d	0.1855	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_42a	m3_mono	reports/pkg_0184/visual/station_42a__m3_mono.png	Windows	640	360	true	233adcd5a21be51f1a7dcb4338e29df4	0.1852	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_42b	normal	reports/pkg_0184/visual/station_42b__normal.png	Windows	640	360	false	706d415659b6c934da7f220f2e9385e8	0.1921	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_42b	key_object	reports/pkg_0184/visual/station_42b__key_object.png	Windows	640	360	false	ab8f8acb08a2aabf3814bffdfd844a7a	0.1910	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_42b	interaction	reports/pkg_0184/visual/station_42b__interaction.png	Windows	640	360	false	6055fb68d516e892d4f431a31a1def32	0.1888	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_42b	m3_mono	reports/pkg_0184/visual/station_42b__m3_mono.png	Windows	640	360	true	f131b30415472bd94d5e2a1100517648	0.1892	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_42c	normal	reports/pkg_0184/visual/station_42c__normal.png	Windows	640	360	false	07a512556757dc8cda44322976798fb6	0.1921	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_42c	key_object	reports/pkg_0184/visual/station_42c__key_object.png	Windows	640	360	false	5110608ec5739ff88d1497b93783c504	0.1919	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_42c	interaction	reports/pkg_0184/visual/station_42c__interaction.png	Windows	640	360	false	10ad01a16023b63a085c51e183ea0a6b	0.1901	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_42c	m3_mono	reports/pkg_0184/visual/station_42c__m3_mono.png	Windows	640	360	true	72d72bfd6efc90be199c9ce92993e7e2	0.1904	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_43	normal	reports/pkg_0184/visual/station_43__normal.png	Windows	640	360	false	22340ac23b664eba74142682a592aa3e	0.1513	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_43	key_object	reports/pkg_0184/visual/station_43__key_object.png	Windows	640	360	false	bd6134eea3a10b8da1012a784f861253	0.1579	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_43	interaction	reports/pkg_0184/visual/station_43__interaction.png	Windows	640	360	false	e7dc089524757eba81470e951c4a9a7c	0.1558	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
station_43	m3_mono	reports/pkg_0184/visual/station_43__m3_mono.png	Windows	640	360	true	02038a96354a6b88efe02f13179030da	0.1652	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
anchor_yield	neutral	reports/pkg_0184/visual/anchor_yield__neutral.png	Windows	640	360	false	3e480fc541f5f16ed2486acb869a1e1c	0.1202	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
anchor_yield	anchor	reports/pkg_0184/visual/anchor_yield__anchor.png	Windows	640	360	false	7aa3b39994591a147644e0974f477eab	0.1207	640x360,pixel-grid capture	HEURISTIC: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed; not a beauty verdict
